driver_id,surname,in_degree,out_degree,total_degree
844,Leclerc,85,91,176
847,Russell,70,77,147
863,Antonelli,54,83,137
830,Verstappen,60,65,125
846,Norris,43,82,125
848,Albon,60,56,116
857,Piastri,36,77,113
4,Alonso,70,35,105
1,Hamilton,30,72,102
859,Lawson,58,41,99
865,Hadjar,66,29,95
839,Ocon,42,52,94
840,Stroll,41,46,87
832,Sainz,56,31,87
864,Bortoleto,42,31,73
852,Tsunoda,50,21,71
860,Bearman,40,30,70
807,Hülkenberg,25,43,68
842,Gasly,40,12,52
861,Colapinto,7,5,12
862,Doohan,7,3,10
